1	4
2	4
8	4
10	4
42	4
53	4
54	4
72	4
73	4
78	4
94	4
100	4
117	4
127	4
138	4
155	4
155	6
156	4
156	6
157	4
158	4
181	4
201	4
206	4
216	4
233	4
262	4
267	6
268	4
292	6
293	4
338	4
367	6
368	4
372	8
373	6
374	4
379	4
386	4
408	4
412	4
438	6
439	4
448	12
449	10
450	8
451	6
452	4
478	4
480	4
488	4
532	4
536	4
542	4
569	4
594	6
595	4
607	4
629	4
651	4
673	8
674	6
675	4
680	4
680	6
681	4
682	4
701	4
705	8
706	6
707	4
711	4
727	4
736	4
773	4
777	4
779	4
782	4
797	6
798	4
820	6
821	4
834	4
855	4
875	4
889	6
890	4
901	4
901	6
902	4
903	4
